BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	geo_loc_name_s	isolation_source_s	sample_description_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	project_name_s	source_s
SAMN01087070	SRX220171	454Reads.TtFGaU10042706	9	21	SRR655347	SRS387744	TtFW5U10042706	USA: Spring Seat, Texas	Trachymyrmex turrifex	Trachymyrmex turrifex field worker (n=5) UGM100427-06 from Spring Seat Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087071	SRX220172	454Reads.TtFGaU10050101	6	15	SRR655348	SRS387745	TtFW5U10050704	USA: Brakenridge Field Laboratory, Texas	Trachymyrmex turrifex	Trachymyrmex turrifex field worker (n=5) UGM100507-04 from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087072	SRX220173	454Reads.TtFW5U10042706	8	18	SRR655349	SRS387746	TzFGaNL1604	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki NL1604 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087073	SRX220174	454Reads.TtFW5U10050704	9	20	SRR655350	SRS387747	TzFGaRS1601	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1601 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087074	SRX220175	454Reads.TzFGaNL1604	3	7	SRR655351	SRS387748	TzFGaRS1603	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1603 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087075	SRX220176	454Reads.TzFGaRS1601	7	17	SRR655352	SRS387749	TzFW3NL1604	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki NL1604 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087076	SRX220177	454Reads.TzFGaRS1603	5	13	SRR655353	SRS387750	TzFW3RS1601	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1601 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087077	SRX220178	454Reads.TzFW3NL1604	5	12	SRR655354	SRS387751	TzFW3RS1603	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1603 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087078	SRX220179	454Reads.TzFW3RS1601	5	12	SRR655355	SRS387752	3CG	USA: Caldwell Ecolab Texas	Cyphomyrmex wheeleri	Cyphomyrmex wheeleri garden 3 from Caldwell Ecolab Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087079	SRX220180	454Reads.TzFW3RS1603	5	11	SRR655356	SRS387753	3CW	USA: Caldwell Ecolab Texas	Cyphomyrmex wheeleri	Cyphomyrmex wheeleri worker 3 (n=7) from Caldwell Ecolab Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087080	SRX220181	454Reads.3CG	1	2	SRR655357	SRS387754	ICG	USA: Caldwell Ecolab Texas	Cyphomyrmex wheeleri	Cyphomyrmex wheeleri garden I from Caldwell Ecolab Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087081	SRX220182	454Reads.3CW	5	12	SRR655358	SRS387755	ICW	USA: Caldwell Ecolab Texas	Cyphomyrmex wheeleri	Cyphomyrmex wheeleri worker I (n=5) from Caldwell Ecolab Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087058	SRX220183	454Reads.ICG	1	2	SRR655359	SRS387756	ClLGaRS1607	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1607 lab garden from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087059	SRX220184	454Reads.ICW	2	4	SRR655360	SRS387757	ClLW3RS1607	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1607 lab worker from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087083	SRX220185	454Reads.YCG1	1	3	SRR655361	SRS387758	YCG2	USA: Brakenridge Field Laboratory, Texas	Cyphomyrmex rimosus	Cyphomyrmex rimosus garden 2  from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087084	SRX220186	454Reads.YCG2	1	2	SRR655362	SRS387759	YCW1	USA: Brakenridge Field Laboratory, Texas	Cyphomyrmex rimosus	Cyphomyrmex rimosus worker 1 (n=10) from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087085	SRX220187	454Reads.YCW1	3	7	SRR655363	SRS387760	YCW2	USA: Brakenridge Field Laboratory, Texas	Cyphomyrmex rimosus	Cyphomyrmex rimosus worker 2 (n=5) from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087082	SRX220188	454Reads.YCW2	4	8	SRR655364	SRS387761	YCG1	USA: Brakenridge Field Laboratory, Texas	Cyphomyrmex rimosus	Cyphomyrmex rimosus garden 1 from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087057	SRX220160	454Reads.ClFW3RS1607	5	13	SRR655336	SRS387733	ClFW3RS1607	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1607 field worker from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087056	SRX220159	454Reads.ClFGaRS1607	3	8	SRR655335	SRS387732	ClFGaRS1607	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1607 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087055	SRX220158	454Reads.TzLW3RS1507	6	15	SRR655334	SRS387731	TzLW3RS1507	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1507 lab worker (n=3) from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087054	SRX220157	454Reads.TzLW3RS1506	4	9	SRR655333	SRS387730	TzLW3RS1506	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1506 lab worker (n=3) from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087053	SRX220156	454Reads.TzLGaRS1507	3	8	SRR655332	SRS387729	TzLGaRS1507	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1507 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087052	SRX220155	454Reads.TzLGaRS1506	2	5	SRR655331	SRS387728	TzLGaRS1506	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1506 lab garden from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087051	SRX220154	454Reads.TzFW3RS1507	4	9	SRR655330	SRS387727	TzFW3RS1507	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1507 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087050	SRX220153	454Reads.TzFW3RS1506	3	8	SRR655329	SRS387726	TzFW3RS1506	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1506 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087049	SRX220152	454Reads.TzFGaRS1507	4	10	SRR655328	SRS387725	TzFGaRS1507	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1507 field garden  from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087048	SRX220151	454Reads.TzFGaRS1506	6	14	SRR655327	SRS387724	TzFGaRS1506	Panama: Pipeline Road, Gamboa	Trachymyrmex zeteki	Trachymyrmex zeteki RS1506 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
