BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	isolation_source_s	sample_description_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	project_name_s	source_s
SAMN01087013	SRX220220	454Reads.GalabD5n2c1R0301	2	5	SRR656000	SRS387793	GalabD5n2c1R0301	01-Jun-11	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087014	SRX220221	454Reads.GaLabD5n2c2R0301	6	15	SRR656001	SRS387794	GaLabD5n2c2R0301	01-Jun-11	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087015	SRX220222	454Reads.GaRes00n1c1U0201	4	11	SRR656002	SRS387795	GaRes00n1c1U0201	02-Apr-10	Panama: Resort, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087017	SRX220224	454Reads.GaRes00n3c1U0202	4	9	SRR656004	SRS387796	GaRes00n3c1U0202	02-Apr-10	Panama: Resort, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: UGM100402-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087016	SRX220223	454Reads.GaRes00n2c1K0201	5	13	SRR656003	SRS387797	GaRes00n2c1K0201	02-Apr-10	Panama: Resort, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: KK100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086984	SRX220191	454Reads.Ch183H5n3c1K1101	5	13	SRR655971	SRS387764	Ch183H5n3c1K1101	11-Apr-10	Panama: Apartment183, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:KK100411-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086983	SRX220190	454Reads.Center5	3	8	SRR655970	SRS387763	Center5	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the center of a complete garden	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086982	SRX220189	454Reads.Center4	6	16	SRR655969	SRS387762	Center4	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the center of a complete garden	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087018	SRX220225	454Reads.GaResA5n4c1R1207	16	37	SRR656005	SRS387798	GaResA5n4c1R1207	12-Apr-10	Panama: Resort, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100412-07	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087019	SRX220226	454Reads.GaResG0n1c5U0201	5	13	SRR656006	SRS387799	GaResG0n1c5U0201	02-Apr-10	Panama: Resort, Gamboa	blank sample	Mycocepurus smithii fungus garden>source colony: UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087020	SRX220227	454Reads.NC183K1101	1	3	SRR656007	SRS387800	NC183K1101	11-Apr-10	Panama: Resort, Gamboa	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087021	SRX220228	454Reads.NCAchR0401	2	4	SRR656008	SRS387801	NCAchR0401	04-Apr-10	Panama: Achiote	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087022	SRX220229	454Reads.NcCavU0905	0	1	SRR656009	SRS387802	NcCavU0905	09-Apr-10	Panama: Casa Verde	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087023	SRX220230	454Reads.NcGctT0603	5	11	SRR656010	SRS387803	NcGctT0603	06-Apr-10	Panama: Gatun	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087024	SRX220231	454Reads.NcGreU0301	0	0	SRR656011	SRS387804	NcGreU0301	03-Apr-10	Panama: Greenhouse, Gamboa	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087025	SRX220232	454Reads.NcPlrT0903	0	2	SRR656012	SRS387805	NcPlrT0903	09-Apr-10	Panama: Pipeline Road, Gamboa	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087026	SRX220233	454Reads.NCResR1207	0	0	SRR656013	SRS387806	NCResR1207	09-Apr-10	Panama: Resort, Gamboa	blank sample	blank Ethanol vial>used as negative control	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087027	SRX220234	454Reads.Side3	2	6	SRR656014	SRS387807	Side3	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the side (between edge and center) of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087028	SRX220235	454Reads.Side6	5	12	SRR656015	SRS387808	Side6	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the side (between edge and center) of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087029	SRX220236	454Reads.Side7	3	8	SRR656016	SRS387809	Side7	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the side (between edge and center) of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087030	SRX220237	454Reads.Side8	3	7	SRR656017	SRS387810	Side8	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the side (between edge and center) of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087031	SRX220238	454Reads.So183H6n2c1K1102	2	5	SRR656018	SRS387811	So1183K4n1c1K1901	19-Apr-10	Panama: Apartment183, Gamboa	soil	Soil>1m of Mycocepurus smithii nest KK100419-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
